Qubits,Depth,Target,Hamming_Weight,Noise_Type,Success_Probability
2q,1x,11,2,none,1.0
2q,1x,11,2,amplitude,0.5390625
2q,1x,11,2,phase,0.75634765625
2q,1x,11,2,depolarizing,0.86376953125
2q,1x,11,2,readout,0.814208984375
2q,3x,11,2,none,1.0
2q,3x,11,2,amplitude,0.366943359375
2q,3x,11,2,phase,0.6513671875
2q,3x,11,2,depolarizing,0.857177734375
2q,3x,11,2,readout,0.8125
3q,1x,000,0,none,0.942626953125
3q,1x,000,0,amplitude,0.219970703125
3q,1x,000,0,phase,0.269775390625
3q,1x,000,0,depolarizing,0.665283203125
3q,1x,000,0,readout,0.68896484375
3q,1x,111,3,none,0.947998046875
3q,1x,111,3,amplitude,0.105712890625
3q,1x,111,3,phase,0.31005859375
3q,1x,111,3,depolarizing,0.65771484375
3q,1x,111,3,readout,0.678466796875
3q,3x,000,0,none,0.94384765625
3q,3x,000,0,amplitude,0.26611328125
3q,3x,000,0,phase,0.19970703125
3q,3x,000,0,depolarizing,0.674072265625
3q,3x,000,0,readout,0.69189453125
3q,3x,111,3,none,0.94140625
3q,3x,111,3,amplitude,0.052001953125
3q,3x,111,3,phase,0.2099609375
3q,3x,111,3,depolarizing,0.6708984375
3q,3x,111,3,readout,0.68701171875
4q,1x,1111,4,none,0.002197265625
4q,1x,1111,4,amplitude,0.16455078125
4q,1x,1111,4,phase,0.0546875
4q,1x,1111,4,depolarizing,0.062744140625
4q,1x,1111,4,readout,0.00146484375
